CO_MTRS,X,Y
10M14S17E10,-120.105299648006,36.73073024025229
10M14S17E11,-120.08724731915001,36.727836526417
10M14S17E13,-120.06927111802,36.7133672834759
10M14S17E14,-120.087523362323,36.7098122640059
10M14S17E15,-120.105707822342,36.709795220619895
10M14S17E16,-120.12376404208099,36.713255598076
10M14S17E18,-120.159781534804,36.7131685158879
10M14S17E22,-120.10591953545901,36.6988092444956
10M14S17E23,-120.087739639937,36.695814246392295
10M14S17E24,-120.06946013552601,36.6958274827372
10M14S17E25,-120.069582755087,36.6842843954851
10M14S17E26,-120.087914902644,36.684246552393205
10M14S17E27,-120.106121878213,36.6841362317801
10M14S17E28,-120.124216678094,36.6839800794242
10M14S17E31,-120.16030796793801,36.669454446715704
10M14S18E01,-119.961611560744,36.7424248693318
10M14S18E02,-119.97927444704901,36.7424283502552
10M14S18E03,-119.997020688766,36.7389585623459
10M14S18E04,-120.015439225119,36.7389585570161
10M14S18E05,-120.03346446498199,36.7425238433734
10M14S18E06,-120.05114236888599,36.7425262449832
10M14S18E08,-120.03345438709101,36.72793858994329
10M14S18E09,-120.01545984398899,36.727959250583794
10M14S18E10,-119.997083507241,36.7279528943384
10M14S18E11,-119.97936526165199,36.7279557066111
10M14S18E12,-119.96167959989401,36.728018857401
10M14S18E13,-119.961749744658,36.7134252412844
10M14S18E14,-119.979458269171,36.713345496012394
10M14S18E15,-119.99716461468901,36.713424866984205
10M14S18E16,-120.01548792800101,36.7134540592718
10M14S18E17,-120.033491910553,36.7134276390691
10M14S18E18,-120.051202300449,36.7133993647004
10M14S18E19,-120.051327640721,36.6989056327784
10M14S18E20,-120.03357529413,36.69893393863771
10M14S18E21,-120.01551601414499,36.698956454196
10M14S18E22,-119.997242665884,36.698805242129396
10M14S18E23,-119.97954757931801,36.6987468828641
10M14S18E24,-119.96181981308001,36.698838866387504
10M14S18E25,-119.961890002235,36.6843125530788
10M14S18E26,-119.97965767121201,36.6842302279978
10M14S18E27,-119.997343142579,36.684280926420605
10M14S18E28,-120.015544085076,36.6843731580132
10M14S18E29,-120.033656741824,36.684344847457105
10M14S18E30,-120.051452947219,36.6843146110467
10M14S18E32,-120.033719017582,36.6732804738415
10M14S18E33,-120.01556463721901,36.6733660346345
10M14S18E34,-119.997461549037,36.6697496542775
10M14S18E35,-119.979816544749,36.6662613294885
10M14S18E36,-119.961976970972,36.6664275719698
10M14S19E01,-119.85367080133301,36.743136612617
10M14S19E02,-119.871720848113,36.742970475300005
10M14S19E03,-119.889681314867,36.742832498178004
10M14S19E06,-119.94350984908999,36.7424862246186
10M14S19E07,-119.94356834780001,36.728101217123104
10M14S19E08,-119.92555736648998,36.7281816907219
10M14S19E10,-119.889912542304,36.7283292659463
10M14S19E11,-119.87184668852,36.7284535644296
10M14S19E12,-119.853720184221,36.7285416603765
10M14S19E13,-119.853773149376,36.714084054675105
